GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
e1,com.example,XestorNotas,140,0,16,0,33,0,18,0,10,0
e1,com.example,ContaBancaria,4,105,1,9,2,30,2,13,1,9
